store_id,product_id,quantity,minimum_quantity,maximun_quantity
1,1,0,10,250
1,2,0,10,250
1,3,0,10,250
1,4,0,10,250
1,5,0,10,250
1,6,0,10,250
1,7,0,10,250
1,8,0,10,250
1,9,0,10,250
1,10,0,10,250
1,11,0,10,250
1,12,0,10,250
1,13,0,10,250
1,14,0,10,250
1,15,0,10,250
1,16,0,10,250
1,17,0,10,250
1,18,0,10,250
1,19,0,10,250
1,20,0,10,250
1,21,0,10,250
1,22,0,10,250
1,23,0,10,250
1,24,0,10,250
1,25,0,10,250
1,26,0,10,250
1,27,0,10,250
1,28,0,10,250
1,29,0,10,250
1,30,0,10,250
1,31,0,10,250
1,32,0,10,250
1,33,0,10,250
1,34,0,10,250
1,35,0,10,250
1,36,0,10,250
1,37,0,10,250
1,38,0,10,250
1,39,0,10,250
1,40,0,10,250
1,41,0,10,250
1,42,0,10,250
1,43,0,10,250
1,44,0,10,250
1,45,0,10,250
1,46,0,10,250
1,47,0,10,250
1,48,0,10,250
1,49,0,10,250
1,50,0,10,250
1,51,0,10,250
1,52,0,10,250
1,53,0,10,250
1,54,0,10,250
1,55,0,10,250
1,56,0,10,250
1,57,0,10,250
1,58,0,10,250
1,59,0,10,250
1,60,0,10,250
2,1,0,10,250
2,2,0,10,250
2,3,0,10,250
2,4,0,10,250
2,5,0,10,250
2,6,0,10,250
2,7,0,10,250
2,8,0,10,250
2,9,0,10,250
2,10,0,10,250
2,11,0,10,250
2,12,0,10,250
2,13,0,10,250
2,14,0,10,250
2,15,0,10,250
2,16,0,10,250
2,17,0,10,250
2,18,0,10,250
2,19,0,10,250
2,20,0,10,250
2,21,0,10,250
2,22,0,10,250
2,23,0,10,250
2,24,0,10,250
2,25,0,10,250
2,26,0,10,250
2,27,0,10,250
2,28,0,10,250
2,29,0,10,250
2,30,0,10,250
2,31,0,10,250
2,32,0,10,250
2,33,0,10,250
2,34,0,10,250
2,35,0,10,250
2,36,0,10,250
2,37,0,10,250
2,38,0,10,250
2,39,0,10,250
2,40,0,10,250
2,41,0,10,250
2,42,0,10,250
2,43,0,10,250
2,44,0,10,250
2,45,0,10,250
2,46,0,10,250
2,47,0,10,250
2,48,0,10,250
2,49,0,10,250
2,50,0,10,250
2,51,0,10,250
2,52,0,10,250
2,53,0,10,250
2,54,0,10,250
2,55,0,10,250
2,56,0,10,250
2,57,0,10,250
2,58,0,10,250
2,59,0,10,250
2,60,0,10,250
3,1,0,10,250
3,2,0,10,250
3,3,0,10,250
3,4,0,10,250
3,5,0,10,250
3,6,0,10,250
3,7,0,10,250
3,8,0,10,250
3,9,0,10,250
3,10,0,10,250
3,11,0,10,250
3,12,0,10,250
3,13,0,10,250
3,14,0,10,250
3,15,0,10,250
3,16,0,10,250
3,17,0,10,250
3,18,120,10,250
3,19,0,10,250
3,20,0,10,250
3,21,0,10,250
3,22,140,10,250
3,23,0,10,250
3,24,22,10,250
3,25,0,10,250
3,26,0,10,250
3,27,0,10,250
3,28,0,10,250
3,29,0,10,250
3,30,0,10,250
3,31,4,10,250
3,32,0,10,250
3,33,0,10,250
3,34,0,10,250
3,35,0,10,250
3,36,0,10,250
3,37,0,10,250
3,38,0,10,250
3,39,0,10,250
3,40,0,10,250
3,41,0,10,250
3,42,0,10,250
3,43,0,10,250
3,44,0,10,250
3,45,0,10,250
3,46,0,10,250
3,47,0,10,250
3,48,0,10,250
3,49,0,10,250
3,50,0,10,250
3,51,0,10,250
3,52,0,10,250
3,53,0,10,250
3,54,0,10,250
3,55,0,10,250
3,56,0,10,250
3,57,0,10,250
3,58,0,10,250
3,59,0,10,250
3,60,0,10,250
4,1,0,10,250
4,2,4,10,250
4,3,0,10,250
4,4,0,10,250
4,5,0,10,250
4,6,0,10,250
4,7,0,10,250
4,8,0,10,250
4,9,0,10,250
4,10,0,10,250
4,11,0,10,250
4,12,0,10,250
4,13,0,10,250
4,14,0,10,250
4,15,0,10,250
4,16,0,10,250
4,17,0,10,250
4,18,0,10,250
4,19,0,10,250
4,20,0,10,250
4,21,0,10,250
4,22,0,10,250
4,23,0,10,250
4,24,0,10,250
4,25,288,10,250
4,26,0,10,250
4,27,31,10,250
4,28,222,10,250
4,29,0,10,250
4,30,0,10,250
4,31,0,10,250
4,32,0,10,250
4,33,641,10,250
4,34,0,10,250
4,35,0,10,250
4,36,0,10,250
4,37,0,10,250
4,38,0,10,250
4,39,187,10,250
4,40,0,10,250
4,41,0,10,250
4,42,0,10,250
4,43,0,10,250
4,44,0,10,250
4,45,0,10,250
4,46,0,10,250
4,47,0,10,250
4,48,0,10,250
4,49,0,10,250
4,50,0,10,250
4,51,42,10,250
4,52,0,10,250
4,53,0,10,250
4,54,0,10,250
4,55,0,10,250
4,56,0,10,250
4,57,0,10,250
4,58,104,10,250
4,59,0,10,250
4,60,0,10,250
